Starting training
  dataset_root: dataset/cleaned
  model_type:   denoised_cnn
  epochs:       10
  batch_size:   32
  lr:           1e-4
  out_dir:      models
  max_samples:  0
Activating virtual environment and dependencies...
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v4, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v3, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: facenet-pytorch in ./.venv/lib/python3.11/site-packages (2.6.0)
Using device: cuda
Training images:   160002
Validation images: 49428
Checkpoints & metrics → models/denoised_cnn/
Figures               → figures/denoised_cnn/
  [Epoch 1 | Batch 0/5001] Avg Loss: 0.8163
  [Epoch 1 | Batch 20/5001] Avg Loss: 0.7000
  [Epoch 1 | Batch 40/5001] Avg Loss: 0.6765
  [Epoch 1 | Batch 60/5001] Avg Loss: 0.6498
  [Epoch 1 | Batch 80/5001] Avg Loss: 0.6276
  [Epoch 1 | Batch 100/5001] Avg Loss: 0.6004
  [Epoch 1 | Batch 120/5001] Avg Loss: 0.5879
  [Epoch 1 | Batch 140/5001] Avg Loss: 0.5650
  [Epoch 1 | Batch 160/5001] Avg Loss: 0.5514
  [Epoch 1 | Batch 180/5001] Avg Loss: 0.5344
  [Epoch 1 | Batch 200/5001] Avg Loss: 0.5185
  [Epoch 1 | Batch 220/5001] Avg Loss: 0.5058
  [Epoch 1 | Batch 240/5001] Avg Loss: 0.4910
  [Epoch 1 | Batch 260/5001] Avg Loss: 0.4805
  [Epoch 1 | Batch 280/5001] Avg Loss: 0.4706
  [Epoch 1 | Batch 300/5001] Avg Loss: 0.4640
  [Epoch 1 | Batch 320/5001] Avg Loss: 0.4573
  [Epoch 1 | Batch 340/5001] Avg Loss: 0.4476
  [Epoch 1 | Batch 360/5001] Avg Loss: 0.4376
  [Epoch 1 | Batch 380/5001] Avg Loss: 0.4295
  [Epoch 1 | Batch 400/5001] Avg Loss: 0.4231
  [Epoch 1 | Batch 420/5001] Avg Loss: 0.4165
  [Epoch 1 | Batch 440/5001] Avg Loss: 0.4093
  [Epoch 1 | Batch 460/5001] Avg Loss: 0.4022
  [Epoch 1 | Batch 480/5001] Avg Loss: 0.3973
  [Epoch 1 | Batch 500/5001] Avg Loss: 0.3908
  [Epoch 1 | Batch 520/5001] Avg Loss: 0.3861
  [Epoch 1 | Batch 540/5001] Avg Loss: 0.3820
  [Epoch 1 | Batch 560/5001] Avg Loss: 0.3780
  [Epoch 1 | Batch 580/5001] Avg Loss: 0.3749
  [Epoch 1 | Batch 600/5001] Avg Loss: 0.3709
  [Epoch 1 | Batch 620/5001] Avg Loss: 0.3674
  [Epoch 1 | Batch 640/5001] Avg Loss: 0.3630
  [Epoch 1 | Batch 660/5001] Avg Loss: 0.3585
  [Epoch 1 | Batch 680/5001] Avg Loss: 0.3556
  [Epoch 1 | Batch 700/5001] Avg Loss: 0.3531
  [Epoch 1 | Batch 720/5001] Avg Loss: 0.3497
  [Epoch 1 | Batch 740/5001] Avg Loss: 0.3459
  [Epoch 1 | Batch 760/5001] Avg Loss: 0.3414
  [Epoch 1 | Batch 780/5001] Avg Loss: 0.3383
  [Epoch 1 | Batch 800/5001] Avg Loss: 0.3349
  [Epoch 1 | Batch 820/5001] Avg Loss: 0.3321
  [Epoch 1 | Batch 840/5001] Avg Loss: 0.3302
  [Epoch 1 | Batch 860/5001] Avg Loss: 0.3277
  [Epoch 1 | Batch 880/5001] Avg Loss: 0.3245
  [Epoch 1 | Batch 900/5001] Avg Loss: 0.3228
  [Epoch 1 | Batch 920/5001] Avg Loss: 0.3199
  [Epoch 1 | Batch 940/5001] Avg Loss: 0.3174
  [Epoch 1 | Batch 960/5001] Avg Loss: 0.3154
  [Epoch 1 | Batch 980/5001] Avg Loss: 0.3131
  [Epoch 1 | Batch 1000/5001] Avg Loss: 0.3107
  [Epoch 1 | Batch 1020/5001] Avg Loss: 0.3082
  [Epoch 1 | Batch 1040/5001] Avg Loss: 0.3065
  [Epoch 1 | Batch 1060/5001] Avg Loss: 0.3041
  [Epoch 1 | Batch 1080/5001] Avg Loss: 0.3019
  [Epoch 1 | Batch 1100/5001] Avg Loss: 0.3006
  [Epoch 1 | Batch 1120/5001] Avg Loss: 0.2980
  [Epoch 1 | Batch 1140/5001] Avg Loss: 0.2957
  [Epoch 1 | Batch 1160/5001] Avg Loss: 0.2935
  [Epoch 1 | Batch 1180/5001] Avg Loss: 0.2918
  [Epoch 1 | Batch 1200/5001] Avg Loss: 0.2903
  [Epoch 1 | Batch 1220/5001] Avg Loss: 0.2890
  [Epoch 1 | Batch 1240/5001] Avg Loss: 0.2870
  [Epoch 1 | Batch 1260/5001] Avg Loss: 0.2859
  [Epoch 1 | Batch 1280/5001] Avg Loss: 0.2846
  [Epoch 1 | Batch 1300/5001] Avg Loss: 0.2834
  [Epoch 1 | Batch 1320/5001] Avg Loss: 0.2822
  [Epoch 1 | Batch 1340/5001] Avg Loss: 0.2809
  [Epoch 1 | Batch 1360/5001] Avg Loss: 0.2795
  [Epoch 1 | Batch 1380/5001] Avg Loss: 0.2782
  [Epoch 1 | Batch 1400/5001] Avg Loss: 0.2771
  [Epoch 1 | Batch 1420/5001] Avg Loss: 0.2759
  [Epoch 1 | Batch 1440/5001] Avg Loss: 0.2745
  [Epoch 1 | Batch 1460/5001] Avg Loss: 0.2731
  [Epoch 1 | Batch 1480/5001] Avg Loss: 0.2718
  [Epoch 1 | Batch 1500/5001] Avg Loss: 0.2708
  [Epoch 1 | Batch 1520/5001] Avg Loss: 0.2698
  [Epoch 1 | Batch 1540/5001] Avg Loss: 0.2684
  [Epoch 1 | Batch 1560/5001] Avg Loss: 0.2674
  [Epoch 1 | Batch 1580/5001] Avg Loss: 0.2661
  [Epoch 1 | Batch 1600/5001] Avg Loss: 0.2651
  [Epoch 1 | Batch 1620/5001] Avg Loss: 0.2638
  [Epoch 1 | Batch 1640/5001] Avg Loss: 0.2624
  [Epoch 1 | Batch 1660/5001] Avg Loss: 0.2614
  [Epoch 1 | Batch 1680/5001] Avg Loss: 0.2603
  [Epoch 1 | Batch 1700/5001] Avg Loss: 0.2591
  [Epoch 1 | Batch 1720/5001] Avg Loss: 0.2584
  [Epoch 1 | Batch 1740/5001] Avg Loss: 0.2576
  [Epoch 1 | Batch 1760/5001] Avg Loss: 0.2568
  [Epoch 1 | Batch 1780/5001] Avg Loss: 0.2559
  [Epoch 1 | Batch 1800/5001] Avg Loss: 0.2552
  [Epoch 1 | Batch 1820/5001] Avg Loss: 0.2542
  [Epoch 1 | Batch 1840/5001] Avg Loss: 0.2534
  [Epoch 1 | Batch 1860/5001] Avg Loss: 0.2524
  [Epoch 1 | Batch 1880/5001] Avg Loss: 0.2516
  [Epoch 1 | Batch 1900/5001] Avg Loss: 0.2507
  [Epoch 1 | Batch 1920/5001] Avg Loss: 0.2495
  [Epoch 1 | Batch 1940/5001] Avg Loss: 0.2487
  [Epoch 1 | Batch 1960/5001] Avg Loss: 0.2479
  [Epoch 1 | Batch 1980/5001] Avg Loss: 0.2471
  [Epoch 1 | Batch 2000/5001] Avg Loss: 0.2465
  [Epoch 1 | Batch 2020/5001] Avg Loss: 0.2459
  [Epoch 1 | Batch 2040/5001] Avg Loss: 0.2450
  [Epoch 1 | Batch 2060/5001] Avg Loss: 0.2441
  [Epoch 1 | Batch 2080/5001] Avg Loss: 0.2431
  [Epoch 1 | Batch 2100/5001] Avg Loss: 0.2424
  [Epoch 1 | Batch 2120/5001] Avg Loss: 0.2418
  [Epoch 1 | Batch 2140/5001] Avg Loss: 0.2409
  [Epoch 1 | Batch 2160/5001] Avg Loss: 0.2402
  [Epoch 1 | Batch 2180/5001] Avg Loss: 0.2392
  [Epoch 1 | Batch 2200/5001] Avg Loss: 0.2385
  [Epoch 1 | Batch 2220/5001] Avg Loss: 0.2378
  [Epoch 1 | Batch 2240/5001] Avg Loss: 0.2372
  [Epoch 1 | Batch 2260/5001] Avg Loss: 0.2365
  [Epoch 1 | Batch 2280/5001] Avg Loss: 0.2361
  [Epoch 1 | Batch 2300/5001] Avg Loss: 0.2357
  [Epoch 1 | Batch 2320/5001] Avg Loss: 0.2349
  [Epoch 1 | Batch 2340/5001] Avg Loss: 0.2343
  [Epoch 1 | Batch 2360/5001] Avg Loss: 0.2335
  [Epoch 1 | Batch 2380/5001] Avg Loss: 0.2328
  [Epoch 1 | Batch 2400/5001] Avg Loss: 0.2322
  [Epoch 1 | Batch 2420/5001] Avg Loss: 0.2315
  [Epoch 1 | Batch 2440/5001] Avg Loss: 0.2307
  [Epoch 1 | Batch 2460/5001] Avg Loss: 0.2299
  [Epoch 1 | Batch 2480/5001] Avg Loss: 0.2293
  [Epoch 1 | Batch 2500/5001] Avg Loss: 0.2285
  [Epoch 1 | Batch 2520/5001] Avg Loss: 0.2275
  [Epoch 1 | Batch 2540/5001] Avg Loss: 0.2271
  [Epoch 1 | Batch 2560/5001] Avg Loss: 0.2265
  [Epoch 1 | Batch 2580/5001] Avg Loss: 0.2260
  [Epoch 1 | Batch 2600/5001] Avg Loss: 0.2253
  [Epoch 1 | Batch 2620/5001] Avg Loss: 0.2246
  [Epoch 1 | Batch 2640/5001] Avg Loss: 0.2240
  [Epoch 1 | Batch 2660/5001] Avg Loss: 0.2235
  [Epoch 1 | Batch 2680/5001] Avg Loss: 0.2233
